data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2020-03-30,0,0,1,0,0,0,0,1,3,5,1,0,5,0,0,1,1,0,18,114,3,1,3,0,0,1,1
2020-04-30,32,19,94,7,208,34,3,184,24,480,53,51,528,44,12,106,78,88,838,2391,83,46,51,9,11,29,30
2020-05-30,302,142,581,109,2900,215,71,932,155,2947,281,279,2541,410,144,633,252,561,5205,7570,181,136,218,19,57,122,162
2020-06-30,1036,365,861,282,4920,417,200,2046,653,6111,989,859,4526,1012,633,1829,931,1593,9948,14850,649,341,614,76,593,474,587
2020-07-30,1728,521,1053,501,5699,561,365,2994,1285,7613,1679,1616,6079,1498,1297,3327,2626,2419,13174,22935,1861,1043,1825,357,1763,1564,1444
2020-08-30,2258,609,1179,587,6115,660,659,3434,1789,8331,2161,2227,7063,1814,1702,5230,5162,3025,15828,30322,3251,2235,3395,851,2725,3075,2469
2020-09-30,2714,659,1285,643,6573,709,933,3754,2099,8930,2301,2593,7702,2004,1881,6590,7148,3416,18256,36093,4485,2797,4782,1303,3406,4672,3255
2020-10-30,2910,693,1392,687,6738,747,1091,4042,2363,9262,2485,2845,8039,2158,2036,7423,8704,3704,20311,39817,5205,3094,5729,1588,3791,5732,3676
2020-11-30,3122,723,1501,722,6915,807,1158,4292,2592,9526,2597,3034,8430,2259,2134,8069,9756,4109,22317,42714,6154,3762,6813,1769,4085,6351,3930
2020-12-30,3610,793,1607,767,7169,919,1226,4491,2794,9890,2890,3373,8975,2398,2287,8874,11463,4862,24997,47197,7886,5206,8793,2300,4443,6805,4248
2021-01-30,4458,864,2080,848,7618,1059,1370,4682,3017,10366,3181,3741,9647,2645,2556,9802,14527,5601,29445,53832,10013,6325,10663,2898,5036,7487,4545
