regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Norte,TO,Maurilândia do Tocantins,17,171280,17002,BICO DO PAPAGAIO,2021-02-01,5,3426,136,0,1,0,,,0
Norte,TO,Maurilândia do Tocantins,17,171280,17002,BICO DO PAPAGAIO,2021-02-02,5,3426,136,0,1,0,,,0
Norte,TO,Miracema do Tocantins,17,171320,17006,CAPIM DOURADO,2021-02-01,5,18248,1120,4,11,0,,,1
Norte,TO,Miracema do Tocantins,17,171320,17006,CAPIM DOURADO,2021-02-02,5,18248,1121,1,12,1,,,1
Norte,PA,Curionópolis,15,150277,15003,CARAJAS,2021-02-01,5,17929,1580,0,19,0,,,0
Norte,PA,Curionópolis,15,150277,15003,CARAJAS,2021-02-02,5,17929,1591,11,19,0,,,0
Norte,PA,Curralinho,15,150280,15014,MARAJO II,2021-02-01,5,34448,494,0,21,0,,,0
Norte,PA,Curralinho,15,150280,15014,MARAJO II,2021-02-02,5,34448,494,0,21,0,,,0
Norte,AM,Presidente Figueiredo,13,130353,13001, ENTORNO E ALTO RIO NEGRO,2021-02-01,5,36279,4824,26,70,0,,,1
Norte,AM,Presidente Figueiredo,13,130353,13001, ENTORNO E ALTO RIO NEGRO,2021-02-02,5,36279,4857,33,72,2,,,1
Norte,AM,Rio Preto da Eva,13,130356,13001, ENTORNO E ALTO RIO NEGRO,2021-02-01,5,33347,3148,13,44,1,,,1
Norte,AM,Rio Preto da Eva,13,130356,13001, ENTORNO E ALTO RIO NEGRO,2021-02-02,5,33347,3148,0,44,0,,,1
Norte,AC,Plácido de Castro,12,120038,12002,BAIXO ACRE E PURUS,2021-02-01,5,19761,891,1,11,0,,,0
Norte,AC,Plácido de Castro,12,120038,12002,BAIXO ACRE E PURUS,2021-02-02,5,19761,910,19,11,0,,,0
